Country Name,Region,GDP_pc,GDP_pc_PPP,GDP_growth,LQI,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,HDI,Control of Corruption: Estimate,Control of Corruption: Percentile Rank,Government Effectiveness: Estimate,Government Effectiveness: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Estimate,Political Stability and Absence of Violence/Terrorism: Percentile Rank,Regulatory Quality: Estimate,Regulatory Quality: Percentile Rank,Rule of Law: Estimate,Rule of Law: Percentile Rank,Voice and Accountability: Estimate,Voice and Accountability: Percentile Rank,Government Quality
Aruba,Latin America & Caribbean,,,,,,,,,,,,,,1.203908705882353,86.0971594117647,1.1583279529411763,83.6426688235294,1.263298741176471,93.4014364705882,1.1098445470588234,82.72149823529413,1.168743823529412,84.14747588235294,1.186392988235294,87.92737,0.8348478330376955
Afghanistan,South Asia,494.179349886029,2152.3664894209,1.53563667424,,,,,,,,,,0.511,-1.4335791818181816,3.891954036363636,-1.4730377136363637,6.32883709090909,-2.478879,1.2861017772727277,-1.5085970954545451,6.158317909090909,-1.7030473181818182,2.348602563636364,-1.284661731818182,13.893755104545454,0.1268738881242401
Angola,Sub-Saharan Africa,2809.62608839129,6952.41936236851,-3.7956079652012,,,,,,,,,,0.581,-1.2939875045454547,6.621511863636365,-1.1420555363636362,11.795020227272728,-0.7717912954545455,25.034463409090908,-1.1419336045454545,13.127891000000004,-1.3111061590909092,8.65066,-1.1663375818181818,14.90865909090909,0.2542913855291479
Anguilla,,,,,,,,,,,,,,,1.203782782352941,86.3319411764706,1.2710336705882357,85.54862411764705,1.2589127294117646,92.58294176470588,1.1239996588235297,84.01192294117648,0.8865540647058825,76.40788882352939,0.97063871,78.61991500000002,0.8191804644137577
Albania,Europe & Central Asia,5395.65953185375,14012.9764354305,2.54935857948763,,,,,,,,,,0.795,-0.6642039636363637,29.66848136363637,-0.31680405,42.62717136363637,-0.0975340636363636,42.71845681818181,0.0313869363636363,53.28722363636364,-0.5645728818181818,34.572286363636366,0.0273222409090909,49.561835,0.4729868990436013
Andorra,Europe & Central Asia,40897.3308728669,,1.83306059347608,,,,,,,,,,0.868,1.2801992727272729,87.71859818181817,1.5990665000000002,92.25439590909092,1.3492900454545451,95.73985545454546,1.312033081818182,88.30764136363636,1.3361964409090907,87.45856954545455,1.3328196818181814,91.65400409090908,0.8815288636176044
Netherlands Antilles,,,,,,,,,,,,,,,0.97470406,81.002923,0.82578,76.91454,0.96096701,81.846843,0.85187615,76.209125,0.84012239,76.151254,0.4404565299999999,61.576641,0.7432196292785378
United Arab Emirates,Middle East & North Africa,42701.4430454782,71150.5421414274,1.93443148259161,0.7557235874816214,92.17,84.86,68.73,58.33,4.42,36.19,49.71,45.23,0.89,0.9319740227272728,79.07143545454545,1.0510562227272728,81.98339545454546,0.8228025090909092,74.02581500000001,0.7659540136363637,74.05503909090908,0.5989962272727273,69.55015136363635,-0.8925176045454545,23.320388636363635,0.67582568221723
Argentina,Latin America & Caribbean,10056.637940265,22999.2750525577,-2.99438788864292,0.3709304767905902,30.72,35.86,69.32,34.69,26.04,43.3,51.19,98.28,0.845,-0.3283615727272727,44.22917727272726,-0.0666433181818181,52.57135545454546,-0.06105415,44.07847272727273,-0.5410350727272727,31.73270045454545,-0.5213077545454546,34.774288181818186,0.3913183863636364,60.13576136363638,0.4920633892184733
Armenia,Europe & Central Asia,4604.64632355695,14231.1801885329,7.38219727969849,,,,,,,,,,0.776,-0.5725541318181819,33.43115454545455,-0.1732151909090908,48.473755,-0.2180083636363636,38.23851909090909,0.1902551045454545,58.6254559090909,-0.3550649272727271,42.47031272727273,-0.5256469954545454,32.49010136363636,0.4700741022195001
American Samoa,East Asia & Pacific,11715.3601388487,,-0.219737965386599,,,,,,,,,,,0.8641640235294117,77.75115117647057,0.4492305,68.50423941176469,1.0031769764705882,82.6953605882353,0.2424343411764706,59.18815117647058,1.187931511764706,85.71215352941178,0.956178653846154,78.77181461538461,0.7352611148966807
Antigua and Barbuda,Latin America & Caribbean,17376.6496765004,22774.1742001371,3.96278455965997,,,,,,,,,,0.778,0.8714245818181818,78.72295090909091,0.3778068954545456,65.62950454545454,0.8643504681818182,76.5994309090909,0.582172340909091,70.31126954545456,0.7736779318181817,75.427735,0.5396626227272727,65.08757681818182,0.706311098787627
Australia,East Asia & Pacific,54875.2859563351,51748.3977215322,0.571102988410345,0.9197647553035077,104.63,56.15,78.14,77.75,7.2,34.78,23.85,92.7,0.944,1.906847227272727,94.54875909090909,1.7015530454545456,93.697865,0.9926762409090908,81.49216909090909,1.7276042272727274,95.94180681818185,1.7669972727272727,94.92468954545456,1.4040323636363636,94.06176,0.935343606787872
Austria,Europe & Central Asia,50114.4011099728,58076.348801448,1.04090811975335,0.8872085696282292,77.25,73.92,76.75,71.04,10.75,25.55,21.73,77.15,0.922,1.710270227272727,92.50563227272728,1.703627090909091,93.65143863636362,1.1294818954545454,88.01820863636362,1.5131931363636364,92.55355727272728,1.8601818181818184,97.37308272727272,1.3855488181818183,93.76665727272729,0.927109063768377
Azerbaijan,Europe & Central Asia,4805.75371765917,15052.7938701564,1.63585041443849,0.3616887208569627,27.26,67.75,44.85,29.73,16.77,39.61,74.3,91.4,0.756,-1.086456381818182,12.365985272727274,-0.5999935863636362,30.43780863636364,-0.7216741545454545,23.68129863636364,-0.4816334863636363,34.45063318181818,-0.8183543818181819,23.53462681818182,-1.2911800545454546,12.368190181818182,0.330540217006525
Burundi,Sub-Saharan Africa,228.213589244227,783.451983198669,-1.29476823572824,,,,,,,,,,0.433,-1.1345354954545457,13.138140863636362,-1.280470409090909,9.163906999999996,-1.750264640909091,6.557343831818182,-1.09878735,14.209595863636364,-1.2387946954545457,10.46003609090909,-1.1658576545454546,16.247597454545456,0.2191895785947866
Belgium,Europe & Central Asia,46591.4916067396,54269.5140327442,1.59897001717071,0.6960722537282084,79.72,54.62,75.49,72.61,7.09,36.89,50.11,86.03,0.931,1.4576359090909092,90.15639227272726,1.6004162727272728,91.50150999999998,0.7901343181818181,72.94702272727272,1.2806080909090911,87.2440518181818,1.3786712272727273,88.95539136363637,1.3647406363636363,93.08458454545456,0.8674548058449212
Benin,Sub-Saharan Africa,1219.51550596905,3426.32965445391,4.00308913488962,,,,,,,,,,0.545,-0.5530978545454545,33.99057863636364,-0.4721456136363635,37.69538545454545,0.3093193545454545,56.48934818181817,-0.4051719454545454,37.29490136363636,-0.4897493818181818,36.104065,0.2329294272727273,55.66550909090909,0.481600299339043
Burkina Faso,Sub-Saharan Africa,796.115206827676,2267.50663763582,2.72407212531654,,,,,,,,,,0.452,-0.2160163818181818,49.39280863636363,-0.6314514045454547,30.49054727272728,-0.4199575318181818,32.80720936363636,-0.2798633045454545,43.12141136363636,-0.4857332999999999,37.10530136363636,-0.2673408818181819,39.181929545454544,0.4431218627012069
Bangladesh,South Asia,1855.74009422319,4954.76184812582,7.04528876097589,0.1060701533291325,25.3,36.55,42.25,33.13,13.54,55.92,84.99,71.29,0.632,-1.055211290909091,14.303002590909092,-0.7348991272727274,24.886446363636363,-1.2008429727272725,13.684624409090908,-0.9103183772727274,18.53774409090909,-0.8181442636363634,23.28307090909091,-0.4630776181818181,34.10622272727273,0.3228982463238529
Bulgaria,Europe & Central Asia,9879.26853313318,24523.7922886874,4.77250206361659,0.5436532941258839,45.96,61.26,56.41,38.38,7.68,29.42,64.28,82.76,0.816,-0.1793700181818182,51.61941636363636,0.0750231727272727,58.066475,0.2891742590909091,55.80476909090908,0.5232481454545455,68.76091,-0.1070729681818181,50.89850181818181,0.4679631636363636,62.493170909090914,0.5836681757793432
Bahrain,Middle East & North Africa,23551.9300857404,47228.1000429956,-2.32252085763781,,,,,,,,,,0.852,0.2292219545454545,63.13396363636363,0.4675772454545454,68.57205999999998,-0.4556356772727273,31.30128,0.6812615045454545,72.95043545454546,0.4387210727272727,65.23310045454546,-1.0562972454545454,18.489137272727277,0.5517942248801554
"Bahamas, The",Latin America & Caribbean,33799.4176940891,37973.2472481629,-0.293225395122633,,,,,,,,,,,1.2924671363636364,87.15411863636362,0.9810101272727274,79.96294863636363,0.95455085,80.26173318181817,0.6571181136363635,71.10460409090909,0.8323875409090907,75.93443636363638,0.9980093409090908,79.39427590909091,0.7774929406131793
Bosnia and Herzegovina,Europe & Central Asia,6119.76234462222,15728.1755051663,3.5453373948871,,,,,,,,,,0.78,-0.3896166772727273,42.14473181818182,-0.7020131454545454,26.821768681818185,-0.453999459090909,30.83335772727273,-0.2988092363636363,42.41128909090908,-0.3752262272727273,41.79212545454546,-0.0534991681818181,46.436426363636365,0.4442564222343735
Belarus,Europe & Central Asia,6837.71782606351,20094.5258122074,1.60481819172,0.3923545473639991,31.78,41.59,45.57,30.89,16.69,30.15,44.79,64.37,0.823,-0.4770933727272727,37.95922,-0.7738837818181818,23.78431,0.162354759090909,51.359025454545446,-1.1563447545454546,13.536308636363636,-1.0157967772727272,16.31941009090909,-1.4519301545454546,9.636501772727271,0.3424952063815181
Belize,Latin America & Caribbean,5078.80994441772,7558.56791733533,-0.135066237124235,,,,,,,,,,0.716,-0.2034578772727273,50.47562681818183,-0.3480879681818181,41.81516181818181,0.2080518454545453,53.264390909090906,-0.3175777727272728,41.34545590909091,-0.3736028681818181,39.94551,0.668009059090909,68.15784181818181,0.5237830420719353
Bermuda,North America,117098.446325474,85263.7630031759,0.469320877880691,,,,,,,,,,,1.2887555454545456,87.87380909090908,1.1417159454545454,83.84972545454544,0.88718875,77.93740909090909,1.2440681954545456,86.7040859090909,0.9560898545454544,80.44963181818184,1.0565776,81.55249733333333,0.8133186518326323
Bolivia,Latin America & Caribbean,3552.06814321502,9093.43165872246,0.796516093647838,,,,,,,,,,,-0.6380748954545454,30.45398454545455,-0.4780511136363637,37.12455181818182,-0.4762120318181818,30.54168545454545,-0.6406447772727273,28.762982272727267,-0.8640691727272727,21.90347659090909,-0.0006959909090909,47.752303181818185,0.4098601772337985
Brazil,Latin America & Caribbean,8897.55296585529,15388.234915991,0.651853445818901,0.382272631800042,27.85,32.99,57.84,33.24,16.26,41.28,53.84,97.15,0.765,-0.1224270454545454,53.00535272727272,-0.1299906181818182,50.15978636363637,-0.20595555,38.43620772727272,0.0448797818181818,54.32265181818182,-0.2028244681818182,47.85461,0.4316268545454545,61.24156363636364,0.5313738275092905
Barbados,Latin America & Caribbean,18148.4978451054,16300.422208391,-0.228750840137266,,,,,,,,,,0.814,1.4432530909090908,89.76869,1.2224612454545456,84.91217318181818,1.0816234454545453,86.22586590909091,0.7906186772727274,75.5585818181818,1.0662998727272728,82.55656363636363,1.125122768181818,84.77027590909093,0.8197835359318613
Brunei Darussalam,East Asia & Pacific,31085.9619255901,64724.1324324328,2.82969002187825,,,,,,,,,,0.838,0.57274755,71.48541409090912,0.943825372727273,79.61656954545455,1.1781450545454544,90.33450454545456,0.964534618181818,79.45267636363636,0.5773713863636364,69.53625545454544,-0.792902690909091,25.374810454545457,0.6827274183685714
Bhutan,South Asia,3322.86332871934,12366.526476148,4.54973728489323,,,,,,,,,,0.654,1.0738886227272728,82.31976727272728,0.4502679045454547,68.22654999999999,0.8993748136363636,79.05780227272726,-0.6309791681818182,28.73452727272728,0.3152997772727273,62.59097636363636,-0.5312492590909093,32.24150090909092,0.6048434629432164
Botswana,Sub-Saharan Africa,7203.06422122998,17039.2621878762,0.773637549401784,,,,,,,,,,0.735,0.9007366545454548,79.10765545454545,0.4991710590909092,69.48767545454545,1.0255304409090908,84.03607,0.5555710727272726,69.36872954545453,0.6074279090909092,69.84844590909091,0.5439961863636364,63.87637363636364,0.7114559721878269
Central African Republic,Sub-Saharan Africa,467.908032277798,985.112041352215,1.28946136700006,,,,,,,,,,0.397,-1.1524022272727277,11.2665885,-1.543105909090909,4.046984272727273,-1.8077566818181816,6.392848568181819,-1.225296990909091,10.357486227272728,-1.491973590909091,5.878092595454546,-1.1018491363636362,17.210595818181815,0.191922569773888
Canada,North America,46338.3409560127,49309.5008586611,0.448132391437483,0.7557235874816214,87.98,57.05,71.31,70.22,7.52,33.61,28.76,55.98,0.929,1.9404360000000005,94.85805545454544,1.813904090909091,95.60494136363636,1.0748693954545454,85.86283136363637,1.6594199545454549,94.6427231818182,1.7614149090909093,95.1758940909091,1.4684379545454542,95.94373045454545,0.944469338293106
Switzerland,Europe & Central Asia,85334.5194620909,72033.9294404588,0.491609144873692,1.0,118.44,78.32,74.85,123.35,8.29,28.5,19.59,80.21,0.955,2.072122,96.63773909090912,1.971939363636364,98.00340499999996,1.3300512272727274,95.48398863636363,1.6821471363636362,95.4314718181818,1.8828859545454544,97.72394909090907,1.534742318181818,97.26105136363635,0.9759799148107632
